Lon,Lat,OBJECTID,Ownership,Pole_Num_1,Service,Bulb_Type,Wattage,Lumens,Mast_Arm,Photo_Cont,Luminaire_,Hand_Hold,Extra_Info,Inspection,Inspect_Date,Inspect_Time,Pole_Manuf,Pole_Model,Light_Manu,Light_Mode,POINT_X,POINT_Y,Fixture,Fixture_Model,Bracket,Banner_Arms,Address,Banner_Size,Pole_Number,Pole_Prefix,Pole_Suffix,Pole_Type,Pole_Suff_Seq,Owner_Asset,Light_Presence,created_user,created_date,last_edited_user,last_edited_date
-86.23078759,41.64827042,9744,AEP,J306-0235,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,,KB-TP,,08:00:13am,,,, ,173909.0001,2331706.912,,,,,,,J306-0235,,,Fiberglass,10743,-3,,,,,
-86.23135188,41.64826329,9745,AEP,J306-0237,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,,KB-TP,,07:58:51am,,,, ,173754.761,2331705.321,,,,,,,J306-0237,,,Fiberglass,10744,-3,,,,,
-86.23220843,41.64824478,9746,AEP,J306-0238,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:21:10am,,,, ,173520.6184,2331700.112,,,,,,,J306-0238,,,Fiberglass,10745,-3,,,,,
-86.23260422,41.64827941,9747,AEP,J306-0239,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:25:48am,,,, ,173412.5306,2331713.44,,,,,,,J306-0239,,,Fiberglass,10746,-3,,,,,
-86.23329986,41.64837762,9748,AEP,J306-0240,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:26:42am,,,, ,173222.6438,2331750.475,,,,,,,J306-0240,,,Fiberglass,10747,-3,,,,,
-86.23380139,41.64826743,9749,AEP,J306-0241,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:27:57am,,,, ,173085.3095,2331711.227,,,,,,,J306-0241,,,Fiberglass,10748,-3,,,,,
-86.23230272,41.64790125,9750,AEP,J306-0242,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:41:34am,,,, ,173494.0287,2331575.107,,,,,,,J306-0242,,,Fiberglass,10749,-3,,,,,
-86.23244709,41.64740776,9751,AEP,J306-0243,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:40:29am,,,, ,173453.3899,2331395.546,,,,,,,J306-0243,,,Fiberglass,10750,-3,,,,,
-86.23176038,41.64743135,9752,AEP,J306-0244,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:19:18am,,,, ,173641.1303,2331402.91,,,,,,,J306-0244,,,Fiberglass,10751,-3,,,,,
-86.2312687,41.64738481,9753,AEP,J306-0245,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:21:07am,,,, ,173775.3988,2331385.074,,,,,,,J306-0245,,,Fiberglass,10752,-3,,,,,
-86.23073723,41.64740775,9754,AEP,J306-0246,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:21:56am,,,, ,173920.7064,2331392.48,,,,,,,J306-0246,,,Fiberglass,10753,-3,,,,,
-86.23037067,41.64718972,9755,AEP,J306-0247,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:23:04am,,,, ,174020.3721,2331312.38,,,,,,,J306-0247,,,Fiberglass,10754,-3,,,,,
-86.22059502,41.65007002,9756,AEP,J306-0253,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,09:40:42am,,,, ,176698.8807,2332344.589,,,,,,,J306-0253,,,Wood,10755,-3,,,,,
-86.2289976,41.64931217,9757,AEP,J306-0026,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:35:47am,,,, ,174400.6865,2332083.309,,,,,,,J306-0026,,,Wood,10756,-3,,,,,
-86.22424547,41.6501623,9758,AEP,J306-0263,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,09:07:33am,,,, ,175701.4442,2332384.642,,,,,,,J306-0263,,,Wood,10757,-3,,,,,
-86.22897179,41.64970368,9759,AEP,J306-0027,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,,KB-TP,,07:37:07am,,,, ,174408.6714,2332225.921,,,,,,,J306-0027,,,Wood,10758,-3,,,,,
-86.22738072,41.64693256,9760,AEP,J306-0274,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:45:41am,,,, ,174836.9407,2331213.348,,,,,,,J306-0274,,,Wood,10759,-3,,,,,
-86.22589506,41.64881924,9761,AEP,J306-0275,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:38:53am,,,, ,175247.4449,2331898.178,,,,,,,J306-0275,,,Wood,10760,-3,,,,,
-86.21819454,41.65029548,9762,AEP,J306-0289,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,09:42:48am,,,, ,177355.447,2332422.536,,,,,,,J306-0289,,,Wood,10761,-3,,,,,
-86.22901409,41.65023671,9763,AEP,J306-0029,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:51:09am,,,, ,174398.3771,2332420.223,,,,,,,J306-0029,,,Wood,10762,-3,,,,,
-86.23426437,41.65023719,9764,AEP,J306-0003,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,Yes,No,,KB-TP,,04:59:16am,,,, ,172963.5025,2332429.801,,,,,,,J306-0003,,,Wood,10763,-3,,,,,
-86.22897073,41.65065991,9765,AEP,J306-0030,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:51:52am,,,, ,174411.2344,2332574.35,,,,,,,J306-0030,,,Wood,10764,-3,,,,,
-86.22062625,41.6463352,9766,AEP,J306-0307,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,09:26:32am,,,, ,176681.6018,2330983.746,,,,,,,J306-0307,,,Wood,10765,-3,,,,,
-86.22358313,41.64938644,9767,AEP,J306-0364,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,Yes,No,,KB-TP,,09:00:42am,,,, ,175880.6319,2332100.766,,,,,,,J306-0364,,,Wood,10766,-3,,,,,
-86.22498063,41.6482422,9768,AEP,J306-0381,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:46:33am,,,, ,175495.9971,2331686.298,,,,,,,J306-0381,,,Wood,10767,-3,,,,,
-86.22553294,41.65015096,9769,AEP,J306-0395,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,09:08:46am,,,, ,175349.5579,2332382.792,,,,,,,J306-0395,,,Wood,10768,-3,,,,,
-86.22539847,41.64933099,9770,AEP,J306-0396,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:57:30am,,,, ,175384.3725,2332083.773,,,,,,,J306-0396,,,Wood,10769,-3,,,,,
-86.22625268,41.64835172,9771,AEP,J306-0397,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:41:47am,,,, ,175148.5994,2331728.457,,,,,,,J306-0397,,,Wood,10770,-3,,,,,
-86.22661499,41.64787423,9772,AEP,J306-0398,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:43:33am,,,, ,175048.4499,2331555.115,,,,,,,J306-0398,,,Wood,10771,-3,,,,,
-86.22710163,41.64723667,9773,AEP,J306-0399,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:44:01am,,,, ,174913.9385,2331323.662,,,,,,,J306-0399,,,Wood,10772,-3,,,,,
-86.22786664,41.64656676,9774,AEP,J306-0400,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:46:41am,,,, ,174703.2672,2331080.921,,,,,,,J306-0400,,,Wood,10773,-3,,,,,
-86.22813151,41.64605518,9775,AEP,J306-0401,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:48:43am,,,, ,174629.6604,2330894.981,,,,,,,J306-0401,,,Wood,10774,-3,,,,,
-86.22473092,41.6486635,9776,AEP,J306-0403,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:48:06am,,,, ,175565.2394,2331839.369,,,,,,,J306-0403,,,Wood,10775,-3,,,,,
